start,block,params_json,fold_loglosses_json,logloss_mean,logloss_std
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.828844538121064, ""2020/2021"": 1.8438746739650564, ""2021/2022"": 1.844837474425548, ""2022/2023"": 1.8490921396593323, ""2023/2024"": 1.8444729487370783}",1.842224354981616,0.007758770609024474
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8381193934664701, ""2020/2021"": 1.8447469751224495, ""2021/2022"": 1.847530407650035, ""2022/2023"": 1.8485002057022255, ""2023/2024"": 1.8454149693091884}",1.8448623902500736,0.004066284790885752
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8389137093966383, ""2020/2021"": 1.844599403119919, ""2021/2022"": 1.847410706382012, ""2022/2023"": 1.8483646431868168, ""2023/2024"": 1.8452681027938975}",1.844911312975857,0.0036867428839900086
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8324706916379423, ""2020/2021"": 1.844381510937393, ""2021/2022"": 1.8473294214216156, ""2022/2023"": 1.8482885839816554, ""2023/2024"": 1.8453920951457605}",1.8435724606248733,0.006394753333429293
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 20, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8333091231099057, ""2020/2021"": 1.8447460617929368, ""2021/2022"": 1.8477404099906463, ""2022/2023"": 1.848411251169378, ""2023/2024"": 1.845571536377823}",1.8439556764881382,0.006139241898919597
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 30, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8304251777039455, ""2020/2021"": 1.844959945424771, ""2021/2022"": 1.8478308608002918, ""2022/2023"": 1.8484337764550776, ""2023/2024"": 1.846014002538769}",1.843532752584571,0.00745814603642975
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8481427782168227, ""2020/2021"": 1.8453492699396796, ""2021/2022"": 1.849244188708114, ""2022/2023"": 1.8504041549798713, ""2023/2024"": 1.844902963021505}",1.8476086709731987,0.002408353596889463
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8422408510409618, ""2020/2021"": 1.8445777452358563, ""2021/2022"": 1.8497016303800207, ""2022/2023"": 1.8503901683543964, ""2023/2024"": 1.845826054620477}",1.8465472899263424,0.0034518937135390253
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8345703331164627, ""2020/2021"": 1.8450841469532004, ""2021/2022"": 1.8498507221496714, ""2022/2023"": 1.8498901081545531, ""2023/2024"": 1.8459716962990549}",1.8450734013345886,0.006267873444515052
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 20, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.835896578838958, ""2020/2021"": 1.8458961350188576, ""2021/2022"": 1.8501300991263543, ""2022/2023"": 1.8492862336428448, ""2023/2024"": 1.8463212120754473}",1.8455060517404924,0.005675169826151363
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 30, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8357546822975213, ""2020/2021"": 1.8458495157033106, ""2021/2022"": 1.848703413790989, ""2022/2023"": 1.8504648208088423, ""2023/2024"": 1.8465241235685959}",1.8454593112338518,0.005723749538864776
